                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1047,                 2.1871,                 1.1409,                0.94021,                0.80641,                0.92202,                0.70802,                0.68163,                 2.0052,                 1.1296,             0.00065686,             0.00065686,             0.00065686
                      2,                 1.1981,                  1.658,                 1.1814,                0.81402,                0.74359,                0.85621,                0.59959,                  1.126,                 1.6208,                   1.58,              0.0012908,              0.0012908,              0.0012908
                      3,                 1.2421,                  1.484,                 1.2134,                0.82597,                0.69231,                0.81507,                0.57657,                 1.0131,                 2.2553,                 1.3548,              0.0018917,              0.0018917,              0.0018917
                      4,                 1.2737,                 1.3645,                 1.2336,                0.83055,                0.84615,                0.88788,                0.65913,                0.94423,                 1.3135,                 1.3936,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.2179,                 1.1735,                 1.1846,                0.83089,                0.81888,                0.84902,                0.64307,                0.88787,                 1.8545,                 1.2309,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.2473,                 1.0709,                 1.1908,                0.95542,                0.82435,                0.94637,                0.74702,                0.78608,                 1.1094,                 1.1351,               0.001802,               0.001802,               0.001802
                      7,                 1.1497,                 1.0202,                 1.1376,                 0.9799,                0.88462,                0.96624,                0.78833,                0.78475,                0.65293,                 1.1231,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.1195,                0.95065,                 1.1263,                0.93462,                0.91635,                0.97274,                0.80499,                0.73964,                0.70569,                 1.0964,               0.001703,               0.001703,               0.001703
                      9,                 1.0833,                0.90107,                 1.1154,                0.87598,                0.92308,                0.94684,                0.77389,                0.67181,                0.74382,                 1.0358,              0.0016535,              0.0016535,              0.0016535
                     10,                  1.091,                0.89814,                 1.1145,                0.96231,                0.89744,                0.96086,                 0.8318,                0.59603,                0.59705,                0.98855,               0.001604,               0.001604,               0.001604
                     11,                 1.0791,                0.90118,                 1.1031,                0.95898,                0.97436,                0.98281,                0.79127,                0.75318,                0.56472,                  1.075,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.0669,                0.80623,                 1.0949,                0.97373,                 0.9505,                 0.9837,                0.86486,                0.57065,                0.54864,                0.95182,               0.001505,               0.001505,               0.001505
                     13,                 1.0369,                0.78291,                 1.0761,                0.97421,                0.96867,                0.98834,                0.84417,                0.58932,                0.48974,                0.98404,              0.0014555,              0.0014555,              0.0014555
