epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0838,1.30061,2.56588,1.19144,0.55399,0.42726,0.39146,0.25442,1.41011,3.11765,1.32831,0.000660494,0.000660494,0.000660494
2,48.5961,1.40561,1.86913,1.26242,0.78918,0.4375,0.52202,0.35828,1.36322,2.19446,1.44529,0.00131402,0.00131402,0.00131402
3,69.4414,1.44772,1.5121,1.30853,0.62772,0.4375,0.52864,0.23364,1.95652,1.94213,1.69032,0.00195435,0.00195435,0.00195435
4,90.8983,1.41437,1.31523,1.28701,0.45812,0.47572,0.45883,0.28749,1.53901,1.87775,1.44383,0.0019406,0.0019406,0.0019406
5,113.093,1.37729,1.16751,1.27455,0.74042,0.40625,0.5624,0.33491,1.60244,1.93831,1.45142,0.0019208,0.0019208,0.0019208
6,135.121,1.37081,1.13056,1.25429,0.77775,0.4375,0.49944,0.32678,1.3391,2.73135,1.39616,0.001901,0.001901,0.001901
7,158.65,1.30618,1.02491,1.23862,0.76079,0.65625,0.72386,0.48473,1.32072,1.29984,1.26534,0.0018812,0.0018812,0.0018812
8,181.223,1.30949,0.98836,1.21468,0.68519,0.71875,0.69974,0.4365,1.34972,1.26799,1.30331,0.0018614,0.0018614,0.0018614
9,203.46,1.30161,0.9684,1.2153,0.86982,0.59375,0.74933,0.507,1.27171,1.1651,1.17355,0.0018416,0.0018416,0.0018416
10,226.232,1.29274,0.96249,1.21205,0.76702,0.625,0.6869,0.46708,1.30605,1.20883,1.19035,0.0018218,0.0018218,0.0018218
11,248.481,1.28279,0.91484,1.20296,0.82368,0.73018,0.78468,0.50906,1.35291,1.00204,1.27404,0.001802,0.001802,0.001802
12,271.056,1.27367,0.89764,1.19615,0.87671,0.59375,0.68555,0.46417,1.38241,1.39093,1.26548,0.0017822,0.0017822,0.0017822
13,293.509,1.22828,0.83868,1.17842,0.98922,0.53125,0.70083,0.49097,1.22338,1.55822,1.16589,0.0017624,0.0017624,0.0017624
14,316.643,1.20998,0.83738,1.16966,0.86462,0.79856,0.84383,0.59217,1.23569,0.84774,1.18336,0.0017426,0.0017426,0.0017426
15,339.768,1.19454,0.82708,1.15437,0.96072,0.6875,0.8381,0.58239,1.20609,0.9365,1.1371,0.0017228,0.0017228,0.0017228
16,362.154,1.17256,0.80243,1.16075,0.94029,0.875,0.93894,0.64781,1.21694,0.77889,1.15041,0.001703,0.001703,0.001703
